path	sha256	size_bytes	text	line_count	nfc	lf_only
aegis/auth/apikey.py	0aa4b5380da8afba0b3acfa4ba63ddc132663d098fe1fef153d027b824326268	5187	true	144	true	true
aegis/auth/ldap_auth.py	0cee9052bb8c9f572f02acddd813c5c3bc49087c435ea33652028657eb6a9274	18464	true	495	true	true
aegis/auth/rbac.py	b305a86ac156addbdac96a84d4a0f60bd2d1822caf1f9f7c9277291551c0148f	16861	true	466	true	true
aegis/auth/scim.py	3a5041bc94cecf098d2effeb747295cf524b3cea37e3e8dffe222ef32237445f	36589	true	960	true	true
aegis/auth/scopes.py	1391cbf0be895cd8e66d8e3ef7560c5df449d8d23e7e19bd334b90e5aa761416	6273	true	193	true	true
aegis/config.py	ee7dab68dfefd5a8a72679931867b07e96cfb01c1893efb061d0f21a52091b15	33212	true	787	true	true
aegis/core/__init__.py	2fde5a87af46ab448e9447f970cf6c9bcd3a3cebd25269c26b86703358f0ff14	2172	true	64	true	true
aegis/core/adversarial_filter.py	6d827c64f7259bf4ff3c62d151bc1e44c950bb711f533ed57ed6c6d9c3b28489	4939	true	136	true	true
aegis/core/adversarial_suffix_detector.py	f2aba9b65fa1b3131dede7abc71c51a7a388324a4a4a496412a518e78a64836e	10879	true	260	true	true
aegis/core/ae_keyword_detector.py	16a2f5af02b3dd1e5952105e2ccb41c0c9b0fba64c2ad0c31a270bc684cac2bd	12124	true	340	true	true
aegis/core/anchoring.py	a993f1221a2fb39e64cc9bc11db6fa3c29363bdef7d4df9a2dd9784fa4a84b81	4262	true	120	true	true
aegis/core/archival_bundle.py	8c9956510b7f8cca64805964f38d2e78504186754effef7b7d58665a9690c55a	18640	true	525	true	true
aegis/core/artifact_signing.py	2f5fc30294623c8818f66cc22fb9a95727e1708938e00998ac47b4e05ce615c5	6653	true	169	true	true
aegis/core/atlas_tactic_mapper.py	9d533e21469c6bf57d6475250826bd63ebc8320ce7c1d58bb2040aa92a0339fb	13412	true	376	true	true
aegis/core/attestation_capabilities.py	d171dc2333262f33a7d40c1fd242ebaaec48e8089852ffcf08baa56018ffb9c8	11488	true	344	true	true
aegis/core/audit_node.proto	dab86ede63d30291d6d41dbd6e2db19c4834e23db9769451b0d6415a902a9722	517	false	-	-	-
aegis/core/audit_node_encryptor.py	b0181e8a4c4bc30bef17b0e56a65a6c9fc1a1e25b1b6024797eca2ea488c6636	8646	true	228	true	true
aegis/core/audit_node_pb2.py	1a377aa334ab4bde7bd7513fd815accce8e921afd70e0ac198596a4eaa5f6a44	1375	true	27	true	true
aegis/core/blockchain_anchor.py	a21918465155317e8c2f6879d107d2240940352035ea1bcb989339b4f3f901bb	5158	true	139	true	true
aegis/core/boot_attestation.py	1487691c97721ee5a6a450d9e5df7755e6abe67f5254e3aa7b2dd841ca63e5b7	8013	true	203	true	true
aegis/core/boot_guard.py	48af1d9d87ba73468dec85b9898659c12c78afbb74f1fa04379b5b1cd9505929	1827	true	54	true	true
aegis/core/build_hardener.py	5c339861c0334816f586e8fb2c40492cada585a5041041c96c0f1548da1096b2	8732	true	247	true	true
aegis/core/build_reproducibility.py	5396ad301a0e5cb6ea68ca3ebba06f2ea249c9147ea664ea90056b84abd8a765	5340	true	144	true	true
aegis/core/cac_piv.py	003d5e08911a632c46821b177e06d49e8101844b37e21982c28c80507842c1f9	8179	true	190	true	true
aegis/core/cds_guard.py	f9ef2d8bc9d92f1e9194c7fed6005842662ee2fe410a7a28df5bb0324c606105	14225	true	402	true	true
aegis/core/cfi_manager.py	87744f0fcc411cb30cfcab8842a2b245bb775da0c968046501369286cad8f12c	10447	true	276	true	true
aegis/core/cgroups_quota.py	4fe88908634df9d7bbbe0d3e8f76d7787fb3e3ef56117f7742ef3d56a7545bef	14180	true	388	true	true
aegis/core/circuit_breaker.py	3334df039206890c06336ba0b905abde3ddb595d7c6b00a3f7ed5b16d1eae2a5	6184	true	171	true	true
aegis/core/classified_marker_detector.py	52993dda4bc01e048d90daa05e2eafa1b2f41c0668059819ace8de4fd4edc914	12912	true	296	true	true
aegis/core/clinical_claim_detector.py	e4158fa41e18070f70521e4226d893d8af550d65655f4f055aa179d65bdb4c8a	13803	true	346	true	true
aegis/core/clock_integrity.py	5aa7efab7e5572cc17dbf94ee3ca6d4835b9561e071332609b2f0d8c41514c43	11439	true	308	true	true
aegis/core/cnsa_negotiation.py	82c650a24d97c01b52ec7487b0fc97e31c1cba252134279437b1951ca6ed27d1	11802	true	298	true	true
aegis/core/codeql_config.py	5d5820602445ea7acc93cde9d051e11074d44cdeeef7af3021f3bdea452fe1e2	6595	true	186	true	true
aegis/core/conversation_graph.py	cb0e23059502f4f3a97830e77f8bbb2f03abc51bc0ddbd8cbcf24a195c005618	11840	true	290	true	true
aegis/core/cpu_affinity.py	00cc9c237a054bcf5803aa57ae920e26484f6fd157299507c77747541c782496	9584	true	262	true	true
aegis/core/crdt_ordering.py	07211afca3b7db5b3c5f1bb6824e75042d158d99d287672b2ede8869f164acdf	9591	true	240	true	true
aegis/core/cross_session_correlator.py	651e518c6c6a51448d55049db4debf4dda17f656a9f52e24b93ee5df6f63d633	16068	true	434	true	true
aegis/core/crypto_audit.py	8939500f12bbac8bbac9782a4d4dbd5071eeff70497f90c18bca72a2c478b870	44236	true	1058	true	true
aegis/core/custody_transfer.py	75ea702a8243e908a957d5c6d9a9b18982336cdbd5ef58a8c125335cdabc747c	9431	true	256	true	true
aegis/core/decode_pipeline.py	9e9672eef634548a75de5cc5e26dd61a094b510b64bcb9bf3eb1667b6ee56308	9245	true	246	true	true
aegis/core/dependency_audit.py	3f597fa75e9e1b182a873e8223117fa79ffc3d42d581f8afb1280333893350ea	12296	true	331	true	true
aegis/core/dfir_export.py	3c965aa8a7166d46035d80707576f5223b3711eb6613edfd4b3429a1c5cd2e22	18058	true	480	true	true
aegis/core/dosage_hallucination.py	bc6a9b62ce52e32194f2fefab896aa8ffdf34e1d1a3fe20e72f93dba4ced134f	20108	true	501	true	true
aegis/core/dp_analytics.py	2eab46625f1982768bcf21ead0a3c367d18be1e654d7db075709fdcc114a59dd	7436	true	200	true	true
aegis/core/dpdk_engine.py	643b177383316c6c0e3beff385fe63658fac9a5ddc1ff31afb1ce5386e4d97b0	5468	true	144	true	true
aegis/core/ebpf_monitor.py	c70749e299b0ba3b0bdcd700ecde3ef25ceef2637715498f670ce69d8fe2ca6e	5799	true	164	true	true
aegis/core/enclave_provider.py	acf290249278294995352edb22c259040f2a1093553b61567b6126e75f839468	3972	true	108	true	true
aegis/core/entropy_analysis.py	8be90698be88a9c6c89f5ea802e3661eb341d039a5169c055dd167fda39af35a	2510	true	74	true	true
aegis/core/export_audit_log.py	e4cf0f4fbc3991706d21c994d474743ed3be9c1226a88b2df4d3451bca0fbdad	11814	true	335	true	true
aegis/core/forensic.py	d545b41f9972d4b4fe9ee66a9cb295452739ebc23295ab6457999e33978df87e	3798	true	121	true	true
aegis/core/forensic_bundle.py	b4e4fc28796906c1dad87354b4807ef0345695a04d08a05fc644585d00f81228	12949	true	309	true	true
aegis/core/forensic_pdf_report.py	1434aa0e89528bb220bd7c1aeca51747ccd50c53688ea07d05c81dfedab33103	22349	true	515	true	true
aegis/core/forensic_sealing.py	95fcac4d846ff5d070463f2f337aecaff8c8ebd9ffcdca5db7f5559239139eab	6054	true	151	true	true
aegis/core/formal_proofs.py	714281bb9112eca3431fd05c783fdbe9b9eccbc8e5fbdbebf856134b6c30827f	4048	true	102	true	true
aegis/core/formal_specs.py	8ad13935977e3f97acc24a0203af2bb69f34088dd234bd4c340efcf53f4b2912	3119	true	79	true	true
aegis/core/fuzzing_harness.py	105e5df4842b779ae3cf1fc1271187c89c66de4a4a92bc200b6bacf1847257d6	4412	true	127	true	true
aegis/core/gossip_wal_sync.py	c06d4c15b3b67567e98135bf204b92e8464fa1b155b1232f1a074a7bc6b297e2	18821	true	479	true	true
aegis/core/gxp_qualification.py	046f3a3d232503545221ea54bed6321540f32c029320e42bb3796b85bf8d1763	26364	true	739	true	true
aegis/core/hardware_token.py	75032620b6bdfef600648a95a01e311f4a97e4bab6d7cf264e1128de95be1527	20051	true	539	true	true
aegis/core/hl7_fhir_phi_detector.py	85bc9eeb8559a30bd6476c18c72cf0d71a7c7276d3076bec8f2301c1ad9d7026	17058	true	474	true	true
aegis/core/homoglyph_normalizer.py	f6d5e5cc48894d073b67603b43550aa9979247a50b10e7e69b33a4d72bb6dfd9	9368	true	228	true	true
aegis/core/hsm.py	d6f7f92497a7ee94a2ac1ae3fec3ce712fb2a4ade010179c91db4b82325499c9	14807	true	398	true	true
aegis/core/icd_snomed_detector.py	e4294475a71a1faeea367ec413b6489bd3768f8fb781ab1555ecfa750deedee7	16497	true	462	true	true
aegis/core/identity.py	8cea4353091c25aa970a2974312b80470d3ba1fcee1681d6c2510206291089e8	5103	true	133	true	true
aegis/core/intermittent_connectivity.py	a5ca7286e36f954b8b78f5dbaf7385fcf8a5140ec99cf2ec29b1da8ca88ae226	10189	true	274	true	true
aegis/core/ioc_correlator.py	910334189e9cebd5584cc836b5cf74a847c261249a2dc59b2f67eeb91c8ca5cd	10414	true	320	true	true
aegis/core/iso27037_evidence.py	ca6f7de20583f3cb70d3e3a8cb0ff595bfb19c7df51a21020c8efc45d26d1830	18124	true	500	true	true
aegis/core/kernel_hardener.py	a189e16d69ec2cab342b2f95496096b141466ed3c4c89ab18f371537d88d5e47	11543	true	304	true	true
aegis/core/leak_detector.py	cbf465e2e4551bed0350e5ceb5c1dc8970d75566e455a7d04a4f6efdc278a80e	3190	true	87	true	true
aegis/core/lsm_guard.py	91b86bdebe115e15a562eba8f9c6056d643947545fec05cd2691fdc617194fa3	11928	true	328	true	true
aegis/core/manyshot_detector.py	68aa95d70477b0031769b6c276a44f7e912e9c9ac6e18c2f3729d961da1200a8	8432	true	234	true	true
aegis/core/market_abuse_detector.py	0c923a818fd2ba95ddb5083fe2ba921efa7484b3595394a81006004e436dcc1f	20455	true	593	true	true
aegis/core/math_utils.py	63019e017dec64a5c7e570a90486f225556d214b5dfa238598f004b05e633dfb	2899	true	88	true	true
aegis/core/memory.py	2658fd56a3ea42aca9039fce8c772cb06c00bbf3de00d92bfba3dcd9cdd152fc	4021	true	109	true	true
aegis/core/memory_invariants.py	893668525b4adfb5c7d2fba6ef8dbfe73789e8b0a17b37f9b7db695195e7e2fd	6219	true	170	true	true
aegis/core/mifid_record_keeper.py	f89feff4f0d987457f1227526064d8e427b0448d04834fdd2ee6d071e964e097	14335	true	393	true	true
aegis/core/mlkem_session.py	3842b9e1ad6df12c441935669df1d56104f205a49d3241072d26733118571eca	7006	true	178	true	true
aegis/core/mmr.py	746123b8db8e7e71ce33e00ff23d89b06349d030891a966966f2c4c63c248b6e	19896	true	509	true	true
aegis/core/model_decision_explainer.py	5bf0309a9518e5a2831a417d583a6b94b23b5f50352825766c8be944aaf09acd	14818	true	404	true	true
aegis/core/model_risk_governance.py	83353b756440a35634af7af2af2ddfe7bf8ed467610efd5f3942e99867e505d5	21622	true	598	true	true
aegis/core/moe_monitor.py	bf7aa5f406873858f0fa9a79cf1573742769dce139bb1e73943909aa1348f804	5502	true	138	true	true
aegis/core/mte_guard.py	a49f720f654a8238f0052f1e326e0900a4b7519b0bd1a5d3f508bfdc027abdcd	6277	true	176	true	true
aegis/core/network_isolation.py	750d7429d3ceae2ec0547d49a986de0663a984acc3de2e146a24f64cff1551fb	10562	true	284	true	true
aegis/core/normalization.py	d773669960490c29d8b630f03866d7c5085229509fb49160b7fdc5263e4e9f6a	1524	true	43	true	true
aegis/core/observability.py	c2876bce350e07724b1e20cbc4b74b3c7f1c8bef06b9822f29d13dd5eb41518e	12009	true	316	true	true
aegis/core/offline_license.py	ff1fac4e0163da16999852bb215087f970963ff635b7a15fe8fd16fde1d37102	12161	true	344	true	true
aegis/core/operator_seal.py	ab3cd0d6cf2bd450ee45dcd1ba8478a2b759708e0b2a124ac11e3bf3d3d6e8b4	20904	true	536	true	true
aegis/core/ot_protocol_scanner.py	dee969f71da8a26adcfb078d873df270207b4576bbe079046c19b744279ebbb6	12648	true	370	true	true
aegis/core/panic_mode.py	3f4b45b8938eb3bd3ec5f77f2d775e06d307039b971c506ff3258e1a5acee978	6867	true	174	true	true
